preprocessing_variant,K,mean_metric,std_metric
VariantA_mean_minmax,3,0.9541342472460114,0.02663580665499671
VariantA_mean_minmax,5,0.86527492023568,0.014329189753643935
VariantA_mean_minmax,7,0.8505768796350501,0.03232968672287146
VariantA_mean_minmax,9,0.8631944086735075,0.019208425916615188
VariantA_mean_minmax,11,0.8495601130712537,0.023498941125048172
VariantA_mean_minmax,13,0.8506469543533196,0.016366612640047278
VariantA_mean_minmax,15,0.845712964049933,0.012218699662589864
VariantB_median_standard,3,0.9560789816174934,0.021754685460179363
VariantB_median_standard,5,0.876941758795261,0.019817530704265156
VariantB_median_standard,7,0.8308623352455656,0.025902347760464805
VariantB_median_standard,9,0.8562236442754407,0.016482182269031503
VariantB_median_standard,11,0.8581112287628375,0.02033616222896926
VariantB_median_standard,13,0.8386648727159608,0.018012836870499916
VariantB_median_standard,15,0.8415979177529455,0.01678634938240751
