preprocessing_variant,K,accuracy,precision,recall,f1,n_test,confusion_matrix_png,model_pickle
VariantA_mean_minmax,3,0.9609756097560975,0.9619047619047619,0.9619047619047619,0.9619047619047619,205,reports\figs\VariantA_mean_minmax_confusion_matrix.png,reports\results\VariantA_mean_minmax_knn_k3_model.pkl
VariantB_median_standard,3,0.9463414634146341,0.9351851851851852,0.9619047619047619,0.9483568075117371,205,reports\figs\VariantB_median_standard_confusion_matrix.png,reports\results\VariantB_median_standard_knn_k3_model.pkl
